nu_ano_avaliacao,co_uf,co_municipio,tp_dependencia,id_aluno,id_escola,sg_uf,no_municipio,vl_proficiencia_lp,in_alfabetizado,in_presenca_lp,status_alfabetizacao,status_presenca_lp,tp_dependencia_desc,total_alunos,alunos_com_classificacao,media_proficiencia_lp,percentual_alfabetizados,percentual_nao_alfabetizados,total_alunos_ano_anterior,media_proficiencia_ano_anterior,percentual_alfabetizados_ano_anterior,percentual_nao_alfabetizados_ano_anterior,variacao_media_proficiencia,variacao_pontos_percentuais_alfabetizados,variacao_pontos_percentuais_nao_alfabetizados,variacao_total_alunos_percentual,tx_alfabetizacao_escola,vol_alunos_escola,in_alfabetizado_real,in_alfabetizado_pred,score_prob,cluster_risco
2024,35,3501608,3,35003527,60029568.0,SP,Americana,651.5771198,0,1,Não Alfabetizado,Presente,Municipal,743,743,754.94,64.33,35.67,,,,,,,,,0.7777777777777778,143,0,1,65.66,Medio
2024,31,3106309,3,31022232,60020310.0,MG,Belo Oriente,746.07,1,1,Alfabetizado,Presente,Municipal,250,250,751.29,66.0,34.0,,,,,,,,,0.7798165137614679,99,1,1,68.93,Medio
2025,35,3543303,2,35301657,60027480.0,SP,Ribeirão Pires,773.68574,1,1,Alfabetizado,Presente,Estadual,632,632,759.07,72.63,27.37,597.0,762.34,67.34,32.66,-3.27,5.29,-5.29,5.86,0.6153846153846154,81,1,1,57.4,Medio
2025,35,3547809,3,35323075,60031947.0,SP,Santo André,773.7299,1,1,Alfabetizado,Presente,Municipal,3669,3669,742.49,60.02,39.98,3608.0,748.72,56.82,43.18,-6.23,3.2,-3.2,1.69,0.5783132530120482,73,1,0,43.95,Alto
2025,33,3301850,3,33127602,60025050.0,RJ,Guapimirim,675.304988,0,1,Não Alfabetizado,Presente,Municipal,545,545,744.13,59.27,40.73,593.0,733.83,47.39,52.61,10.3,11.88,-11.88,-8.09,0.5565217391304348,105,0,0,45.53,Medio
2025,24,2408003,3,24037138,60010116.0,RN,Mossoró,799.001408,1,1,Alfabetizado,Presente,Municipal,1253,1253,740.2,56.74,43.26,1028.0,738.67,45.82,54.18,1.53,10.92,-10.92,21.89,0.5606060606060606,56,1,0,40.88,Alto
2024,27,2704302,3,27015114,60014001.0,AL,Maceió,666.37,0,1,Não Alfabetizado,Presente,Municipal,5283,5283,726.26,41.06,58.94,,,,,,,,,0.4090909090909091,144,0,0,26.01,Alto
2025,31,3170206,3,31130931,60021452.0,MG,Uberlândia,787.3156336,1,1,Alfabetizado,Presente,Municipal,4600,4600,750.67,67.33,32.67,4442.0,749.01,63.03,36.97,1.66,4.3,-4.3,3.56,0.6833333333333333,50,1,0,55.08,Medio
2024,52,5200258,3,52069804,60041961.0,GO,Águas Lindas de Goiás,736.72,0,1,Não Alfabetizado,Presente,Municipal,2979,2979,738.41,53.91,46.09,,,,,,,,,0.7623762376237624,293,0,1,64.91,Medio
2025,32,3201605,3,32029715,60023268.0,ES,Conceição da Barra,720.4179152,0,1,Não Alfabetizado,Presente,Municipal,388,388,772.02,78.61,21.39,386.0,758.06,68.13,31.87,13.96,10.48,-10.48,0.52,0.5414012738853503,147,0,1,60.01,Medio
2025,23,2302800,3,23117215,60008325.0,CE,Canindé,730.5943799,0,1,Não Alfabetizado,Presente,Municipal,848,848,819.52,96.46,3.54,803.0,815.72,95.02,4.98,3.8,1.44,-1.44,5.6,0.851063829787234,37,0,1,95.06,Baixo
2025,29,2926004,3,29193577,60017959.0,BA,Remanso,775.7131332,1,1,Alfabetizado,Presente,Municipal,501,501,739.25,55.69,44.31,329.0,727.15,35.26,64.74,12.1,20.43,-20.43,52.28,0.6545454545454545,100,1,0,50.48,Medio
2024,35,3513801,3,35256818,60030898.0,SP,Diadema,749.8750665,1,1,Alfabetizado,Presente,Municipal,2120,2120,738.98,48.21,51.79,,,,,,,,,0.38372093023255816,248,1,0,23.52,Alto
2024,25,2507507,2,25000628,60011023.0,PB,João Pessoa,781.99,1,1,Alfabetizado,Presente,Estadual,476,476,742.58,52.52,47.48,,,,,,,,,0.52,90,1,0,38.05,Alto
2025,32,3201308,3,32019131,60023478.0,ES,Cariacica,755.4037662,1,1,Alfabetizado,Presente,Municipal,4561,4561,758.35,68.45,31.55,4438.0,748.88,64.71,35.29,9.47,3.74,-3.74,2.77,0.5757575757575758,155,1,0,47.22,Medio
2024,35,3529401,2,35290169,60026100.0,SP,Mauá,767.8601898,1,1,Alfabetizado,Presente,Estadual,3746,3746,768.7,73.95,26.05,,,,,,,,,0.7325102880658436,233,1,1,63.97,Medio
